question,cluster,label,label_int
Kuota saya tidak ter reset,-1,,
Kenapa Biznet tidak bisa menggunakan DNS Google .,-1,,
Rekomendasi router dari Biznet,0,information,0.0
Rekomendasi router tambahan dari Biznet,0,information,0.0
Internet saya down sudah 2 hari apa ada kompensasi ?,-1,information,0.0
Minimal speed yang didapatkan layanan 0D ?,-1,,
Balik nama akun.,-1,,
Berapa perangkat untuk 0D ?,1,information,0.0
Apa itu Biznet Wifi ?,-1,information,0.0
Hotspot Biznet,-1,,
Cara ganti layanan home ke metronet,-1,information,0.0
Internet saya down sejak semalam,-1,problem,2.0
informasi harga paket area manado min,-1,,
promo berlangganan 2D buy daerah bogor,-1,,
mau beli ekstra kuota gimana,-1,,
email biznet home,4,information,0.0
HOTLINE biznet home,4,information,0.0
harga promo 1D 12+5 jakarta,-1,,
Ping tinggi,-1,,
CCTV saya tidak berfungsi dengan koneksi biznet sementara koneksi lain tidak ada kendala.,-1,,
Saya tidak bisa akses App Biznet,-1,,
Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.,-1,,
Tidak dapat login ke akun Anda di https://app.biznet.id.,-1,,
cara cek coverage area,-1,information,0.0
Apakah saya bisa menambah Add On IPTV ?,-1,information,0.0
Apa syarat untuk berhenti berlangganan ?,0,information,0.0
cara pasang router tambahan,-1,information,0.0
kok bandwidth yang kudapat ngga sesuai sih???,-1,,
iya router seperti tenda,-1,,
kapan teknisinya datang,-1,information,0.0
kok tanggal jatuh tempo nya maju terus ya?,-1,,
Adakah perubahan nomor pelanggan utk biznet saya?,0,information,0.0
Adakah perubahan nomor ID pelanggan utk biznet saya?,-1,,
Kenapa My Biznet saya ada 2 akun atas nama orang lain?,0,information,0.0
Saya tidak dapat mengirim dan menerimal email,-1,,
modemnya rental sampai kapan ya?,-1,information,0.0
tanggal berapa biasanya akan terdebet?,-1,information,0.0
tanggal berapa cc biasanya akan terdebet?,-1,information,0.0
untuk permintaan add on kouta bisa melalui apa saja?,-1,information,0.0
bisa diinformasikan untuk reset kouta setiap tanggal berapa?,-1,information,0.0
bisa dicek ID pelanggan ini 1000308564 los merah menyala?,-1,,
di nabire sudah kaver belum,-1,,
apakah bisa cek status internet saya,0,information,0.0
koneksi terputus,-1,,
kalo lambat gmn,-1,problem,2.0
kalo internet lambat gmn ceknya,-1,problem,2.0
Apakah bisa melakukan perubahan paket?,0,information,0.0
"Mau tanya, kalo ini pingnya sesuai ga?",0,information,0.0
Cara relokasi,0,information,0.0
cara tau jumlah prangkat terhubng gimana,0,information,0.0
cara membeli promo,-1,information,0.0
di batam ada layanan apa aja,-1,information,0.0
kapan teknisi datang,-1,information,0.0
internet saya ada loss merah,-1,,
cara mengetahui cakupan area,-1,information,0.0
call center homecare,-1,,
berapa suhu modem seharusnya,0,information,0.0
internet saya lambat,-1,problem,2.0
Nomor call center homcare berapa,-1,information,0.0
harga promo home internet 1D,0,information,0.0
mau nambah router min jual ngga,-1,,
estimasi perbaikan kendala area sampai kapan?,-1,information,0.0
harga mesh wifi berapa?,-1,information,0.0
Estimasi waktu relokasi,-1,,
cara berlangganan biznet,0,information,0.0
internet Down,-1,problem,2.0
Harga visit berbayar,-1,,
cara order promo min,-1,information,0.0
cara pengajuan auto debit,-1,information,0.0
cara melakukan terminasi,-1,information,0.0
harga IPTV,0,information,0.0
Apakah perubahan paket menghanguskan masa aktif?,0,information,0.0
cara login ke mybiznet,-1,information,0.0
cara cek fup atau kuota,-1,information,0.0
pembelian IPTV,-1,,
"Kak, saya mau pasang wifi di alamat yg berbeda. Saya juga sempet tanya ke sales area jl h hasan kelurahan baru, an Mas Zikri. Tp contact beliau tidak bisa dihubungi lagi",-1,,
min modem saya hilang,0,information,0.0
mau masuk ke modem?,0,information,0.0
iya min cara akses ke modem mau ganti password,2,information,0.0
cara cek tanggal reset kuota?,-1,information,0.0
kendapa speed test lemah ya?,-1,,
Saya ada kendala login ke app Biznet sudah ganti password ngak bisa masuk2,-1,,
prediksi cuaca hari ini min,-1,,
Minta kompensasi karena internet kendala terus,0,information,0.0
cara mengganti password wifi,2,information,0.0
cek lokasi dong,-1,,
"Ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah",-1,problem,2.0
harga promo biznet home internet 2D modem beli,0,information,0.0
harga modem biznet,0,information,0.0
Modem saya ada lampu merahnya min?,0,information,0.0
Jadwal reset fup,-1,,
sudah bayar tapi masa aktif gak sesuai kak?,-1,,
cara upgrade layanan,-1,information,0.0
jaringan saya putus sambung,-1,problem,2.0
"Mau berhenti berlangganan, Belum pasti nanti akan digunakan kembali atau tidak Pak",-1,,
cara melakukan pembayaran melalui virtual account BCA,-1,information,0.0
cara order promo,-1,information,0.0
cara melakukan relokasi,-1,information,0.0
Saya mau pindahin modem gimana caranya?,0,information,0.0
biaya relokasi,0,information,0.0
wifi saya bermasalah,-1,,
Kenapa reminder tidak masuk WA atau sms?,-1,,
Apakah ada promo untuk bulan ini?,0,information,0.0
Harga biznet home internet 1D,0,information,0.0
Ini kenapa ada biznet autodebet yg sudah saya cancel masih tetep masuk ya tagihannya ke credit card saya,-1,,
internet saya bermasalah,0,information,0.0
Virtual account BCA,-1,,
Virtual account permata,-1,,
Cara mengetahui id billing,-1,information,0.0
cara registrasi kembali,-1,information,0.0
harga home internet 0D,0,information,0.0
cara mengetahui masa aktif akun,-1,information,0.0
cara order modem biznet,-1,information,0.0
saya sudah bayar tapi belum aktif?,-1,,
kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?,0,information,0.0
Cara pembayaran melalui tokopedia,-1,information,0.0
cara restart modem,-1,information,0.0
cara terminasi,-1,information,0.0
cara menambah installasi biznet,-1,information,0.0
Promo untuk pelanggan baru?,-1,,
mau ajuin perluasan wilayah gimana caranya?,0,information,0.0
cara menemukan sn modem,-1,information,0.0
cara mengetahui jumlah perangkat yang terhubung,-1,information,0.0
"Teman saya pelanggan Biznet kok dapat gratis kesehatan, saya tidak dapat?",-1,,
cara setting ke bridge,-1,information,0.0
cara mengetahui nomor pembayaran baru,-1,information,0.0
cara order promo melalui Mybiznet,-1,information,0.0
can you speak english?,-1,,
cara mendapatkan form relokasi,-1,information,0.0
"Hai, my connection internet is so bad, can you help me?",-1,,
cara add on kuota,-1,information,0.0
Biaya pinalty terminasi,-1,,
Cara setting CCTV?,-1,information,0.0
lampu modem loss merah,-1,,
cara setting CCTV pakai jaringan biznet,-1,information,0.0
nomor call center biznet home,-1,,
cara reset password mybiznet,-1,information,0.0
cara merubah e-mail terdaftar,-1,information,0.0
internet saya down dari semalam,-1,problem,2.0
Harga mesh wifi berapa,-1,information,0.0
Harga paket yang tersedia di Biznet Home,0,information,0.0
Harga paket yang tersedia untuk di Sumatera,-1,,
Apakah layanan Biznet Home dikenakan kontrak,0,information,0.0
Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?,0,information,0.0
"Jika kuota utama habis, apakah internetnya tidak bisa digunakan?",0,information,0.0
Apa itu FUP,-1,information,0.0
Kapan kuota akan direset,-1,information,0.0
Apakah masa aktif terhitung 30 hari?,-1,information,0.0
Apakah Biznet Home memiliki promo,0,information,0.0
Apakah Biznet Home memiliki kompensasi,0,information,0.0
Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?,-1,information,0.0
Apakah benar di beberapa area tidak diperlukan modem atau perangkat?,0,information,0.0
Bagaimana cara terminasi,0,information,0.0
Bagaimana cara relokasi,0,information,0.0
Bagaimana jika ingin relokasi namun alamat barunya tidak tercakup,0,information,0.0
Internetnya lambat,-1,problem,2.0
Apakah Biznet ada pemblokiran IP,0,information,0.0
Berapa maksimal device pada layanan 0D,-1,information,0.0
Berapa maksimal device pada layanan 1D,-1,information,0.0
Berapa maksimal device pada layanan 2D,-1,information,0.0
Berapa maksimal device pada layanan 3D,-1,information,0.0
Apakah bisa memiliki lebih dari 1 akun?,-1,information,0.0
Berapa lama proses pemasangan setelah dilakukan pembayaran,-1,information,0.0
Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?,0,information,0.0
Berapa biaya instalasi,0,information,0.0
Berapa harga modem membeli dan menyewa,0,information,0.0
Apakah Biznet memiliki masa tenggang?,0,information,0.0
Apakah modem bisa diganti jika terjadi kerusakan,0,information,0.0
"Jika akunnya sudah diterminasi, apakah bisa berlangganan kembali",0,information,0.0
Apakah ada garasi pada pembelian modem?,0,information,0.0
Apakah ada garansi pada pembelian modem?,0,information,0.0
Apakah ada garansi pada perangkat Biznet IPTV STB,0,information,0.0
Berapa biaya relokasi,0,information,0.0
"Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian",0,information,0.0
Apakah dikenakan biaya jika ingin downgrade layanan?,-1,information,0.0
cara mengetaui billing ID,-1,information,0.0
cara pembayaran,-1,information,0.0
cara mengambil promo,-1,information,0.0
cara mengecek coverage area,-1,information,0.0
Apakah biznet memiliki SLA,0,information,0.0
Bagaimana cara memperluas jangkauan modem,0,information,0.0
Bagaimana mana cara memperluas jangkauan sinyal,-1,information,0.0
Jika terdapat LOS merah di modem apakah yang harus dilakukan,0,information,0.0
Bagaimana jika speed yang didapatkan tidak sesuai,-1,information,0.0
Apakah Biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya,-1,information,0.0
Apakah Biznet menyediakan kabel LAN,0,information,0.0
"Jika terdapat kendala pada adaptor, apakah bisa diganti",-1,information,0.0
Bagaimana cara pembelian remote untuk STB,-1,information,0.0
Bagaimana jika IPTV hanya blank hitam saja,-1,information,0.0
Bagaimana cara restart STB,-1,information,0.0
Bagaimana cara restart modem,0,information,0.0
Apakah biznet memiliki layanan bandwidth on demand,-1,information,0.0
bagaimana cara registrasi Biznet,-1,information,0.0
Via portal apa saja untuk menghubungi Biznet customer service,-1,information,0.0
Apakah biznet metronet memiliki SLA,0,information,0.0
paket yang miliki ip public,-1,,
Apakah layanan Biznet Home upload dan downloadnya simetris,0,information,0.0
Bagaimana cara agar koneksi internet tetap stabil,-1,information,0.0
"Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?",0,information,0.0
"Jika FUP yang digunakan sudah melebihi pemakaian, apa yang akan terjadi",-1,information,0.0
kalo nomor telepon Home care berapa ya? saya mau call,-1,information,0.0
Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP,-1,information,0.0
Bagaimana cara pembelian extra kuota,0,information,0.0
Apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari,-1,information,0.0
"jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama",-1,information,0.0
Apakah bisa menggunakan e-mail dan nomor telepon yang sama,-1,information,0.0
apakah Biznet Home mengeluarkan invoice fisik,-1,information,0.0
Internet saya down bisa di bantu cek?,-1,problem,2.0
Berapa biaya visit berbayar,0,information,0.0
bagaimana cara merubah data,-1,information,0.0
cara mengajukan perpindahan tiang biznet sebagai non customer,-1,information,0.0
Bagaimana prtosedur relokasi?,0,information,0.0
Apa status modem saya?,-1,information,0.0
jika modem saya rusak apakah bisa dilakukan pergantian?,0,information,0.0
bagaimana cara cek IP address saya?,0,information,0.0
bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?,0,information,0.0
Berapa meter jarak ideal pemakaian wifi dari modem biznet,0,information,0.0
apakah ada loker di Biznet,0,information,0.0
apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?,0,information,0.0
apakah akun saya bisa dialihkan ke orang lain?,0,information,0.0
apakah KTP yang sudah saya daftarkan bisa didaftarkan lagi?,-1,information,0.0
Apakah mybiznet ada aplikasinya di playstome atau appstore?,-1,information,0.0
apakah bisa ajukan terminasi melalui MyBiznet?,-1,information,0.0
apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?,0,information,0.0
bagaimana cara mengganti password wifi,2,information,0.0
apakah jaringan biznet bisa diperjual belikan lagi?,0,information,0.0
bagaimana cara mengganti SSID wifi,2,information,0.0
bagaimana cara membuat pembayaran menjadi auto debet,-1,information,0.0
kapan akan dikirimkan reminder pembayaran,-1,information,0.0
berapa meter jangkauan modem biznet,0,information,0.0
apakah jaringan Biznet free hotspot diluar bisa saya gunakan?,0,information,0.0
bagaimana cara berlangganan internetnya saja tanpa iptv,0,information,0.0
apakah perkantoran bisa menggunakan layanan Home?,-1,information,0.0
paket yang disarankan jika ingin menggunakan cctv,-1,,
bagaimana cara menambahkan kartu kredit,0,information,0.0
apakah akun saya bisa dialihkan ke non FUP?,-1,information,0.0
bagaimana cara memberhentikan kartu kredit,0,information,0.0
jika FUP saya habis apakah inet saya masih bisa digunakan?,0,information,0.0
apakah biznet menyediakan modem wireless?,0,information,0.0
bagaimana jika ingin terminasi namun terdapat kartu kredit,-1,information,0.0
Apakah perangkat akan diambil jika modemnya membeli,0,information,0.0
apakah tidak ada promo pembelian modem?,0,information,0.0
Apakah bisa dilakukan rekoneksi,0,information,0.0
apakah cabang gunung putri buka setiap hari?,-1,information,0.0
Apakah tiang biznet berwarna kuning,-1,information,0.0
apakah boleh saya datang ke cabang?,-1,information,0.0
Harga internet 1DS,0,information,0.0
Harga internet 0DS,0,information,0.0
Harga internet 3DS,0,information,0.0
Harga internet 1DW,0,information,0.0
Harga internet 2DW,0,information,0.0
Harga internet 3DW,0,information,0.0
Apakah Free Extra Quota hanya untuk pelanggan baru atau existing,-1,information,0.0
Ip yang didapatkan pada paket 1D,-1,,
bagaimana cara ubah password akun mybiznet?,2,information,0.0
cara stop auto debet?,-1,information,0.0
layanan IPTV biznet bisa terhubung ke berapa TV?,0,information,0.0
apakah stb tv biznet bisa ditukar jika rusak?,0,information,0.0
Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi,-1,,
apakah dapat menchandise jika pemasangan biznet?,0,information,0.0
Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan terminasi,-1,,
berapa harga remote iptv?,0,information,0.0
Apakah biznet menyediakan Merchandise,-1,information,0.0
Apakah biznet melakukan pemblokiran port,0,information,0.0
apakah remot tv iptv bisa beli diluar biznet?,0,information,0.0
bagaimana cara melakukan pergantian password pada akun MyBiznet,-1,information,0.0
Apakah sinyal modem akan mencakup seluruh ruangan,0,information,0.0
Apakah Biznet ada channel GBO,-1,information,0.0
Apakah Biznet ada channel HBO,-1,information,0.0
berapa lama proses installasi biznet?,0,information,0.0
apakah relokasi modem biznet bisa saya relokasi mandiri?,0,information,0.0
Halo internet saya down sejak kemarin bisa di cek,-1,problem,2.0
mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?,0,information,0.0
Mengapa tidak bisa menggunakan DNS lain?,-1,,
apa itu DNS?,-1,information,0.0
Apakah bisa dilakukan perubahan atas nama,0,information,0.0
apa itu IP?,-1,information,0.0
Apakah biznet home mengeluarkan faktur pajak,0,information,0.0
apa bedanya IP static dan IP dinamic?,-1,information,0.0
"Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil",0,information,0.0
Apakah Biznet Home bisa melakukan perubahan nama atas nama PT,0,information,0.0
Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet,0,information,0.0
apa arti Biznet?,0,information,0.0
cara melakukan pembayaran via bank BRI,3,information,0.0
apakah biznet pempunya layanan telepon?,-1,information,0.0
cara melakukan pembayaran via bank Mandiri,3,information,0.0
cara melakukan pembayaran via Tokopedia,-1,information,0.0
cara melakukan pembayaran via Bank BCA,-1,information,0.0
Apakah layanan home memiliki jatuh tempo,-1,information,0.0
Apakah layanan home memiliki jatuh tempo setiap bulannya,-1,information,0.0
packet loss,-1,,
promo,-1,,
TV tidak bisa koneksi internet,-1,,
Smart TV saya terkendala,-1,,
STB Communication Error,-1,,
STB Connection Error,-1,,
Cara Factory Reset STB,-1,information,0.0
Cara melihat device yang terhubung di modem.,0,information,0.0
weak security pada iphone,-1,,
Rekomendasi router untuk game,-1,,
ping jumping,-1,,
Ada promo 3+1 ga,-1,,
youtube nya putus putus,-1,problem,2.0
sudah restart modem tapi masih sama,-1,,
bisakah datangkan teknisi,-1,,
oi putus nih inetnya,-1,problem,2.0
kenapa koneksi saya putus-putus?,-1,problem,2.0
Apakah MyBiznet bisa menampilkan banyak akun,-1,information,0.0
dimana kantor pusat biznet?,-1,,
apakah Biznet bisa membayar pasca bayar,0,information,0.0
Perbedaan IP Dynamic Private dan IP Public Dynamic,-1,,
Cek sisa kuota saya berapa?,0,information,0.0
Cara ubah paket,-1,information,0.0
ada promo 6+2 ga,-1,,
nomornya call center berapa?,-1,information,0.0
Call center layanan home berapa sih?,-1,information,0.0
Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?,-1,information,0.0
internet terputus,-1,,
Boleh di bantu kendala internet down,-1,problem,2.0
Bisa menggunakan bahasa indonesia,-1,,
"Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?",-1,information,0.0
bisa dicek ID pelanggan ini 10003 los merah menyala?,-1,,
kenapa koneksi internet saya putus nyambung?,0,information,0.0
mengapa saat saya main game ping nya tinggi?,-1,,
bagaimana cara mengecek kouat pemakaian saya dibulan ini?,0,information,0.0
saya ingin mengecek masa aktif akun saya sampai kapan?,0,information,0.0
Terminasi layanan Biznet kemana?,-1,,
Untuk change package bagaimana?,-1,information,0.0
Layanan internet LOS,-1,,
Jenis jenis paket Biznet Home apa aja min?,-1,information,0.0
Untuk paket HOME 0D benefitnya apa aja?,0,information,0.0
Apakah area saya di cibarusah sudah tercakup?,-1,information,0.0
Paket Home 3D benefitnya apa?,-1,information,0.0
kelurahan tebet sudah tercakup blm ya?,-1,,
Kalau biaya pemasangan baru berapa kak?,0,information,0.0
Promo perpanjangan ada apa aja kak?,0,information,0.0
internet saya mati,-1,problem,2.0
cara beli promo gemana ?,-1,information,0.0
Relokasi layanan Biznet Home?,0,information,0.0
apakah bisa membeli router tambahan dari biznet?,0,information,0.0
apakah ada pengeblokan port internet untuk layanan Biznet ?,0,information,0.0
Biaya relokasi layanan Biznet Home berapa kak?,0,information,0.0
Untuk harga paket di lokasi batam apakah dikenakan PPN kak?,-1,information,0.0
Kenapa VPN kantor saya tidak ada koneksi.,-1,,
Berapa harga STB Biznet?,0,information,0.0
Untuk biaya berlangganan IPTV berapa?,0,information,0.0
ping mobile legend tinggi,-1,,
kenapa hasil trace route ada RTO ?,-1,,
perbedaan speed dan bandwidth,-1,,
Berapa lama IP Biznet Home terganti,0,information,0.0
Cara cek coverage layanan Biznet Home,-1,information,0.0
Cara cek masa aktif layanan Biznet saya,0,information,0.0
Troubleshoot internet lambat,-1,problem,2.0
Troubleshoot modem blinking,-1,,
"Kabel fiber saya ada yang putus kak, saya harus gimana ya?",-1,problem,2.0
"Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",-1,information,0.0
Kalo untuk layanan IPTV ada ga kak?,0,information,0.0
Untuk STB nya apakah ada biaya lagi?,-1,information,0.0
"Baik, untuk estimasi pemasangan baru berapa lama kak?",0,information,0.0
Untuk biaya pemasangannya apakah dibayarkan di awal?,0,information,0.0
Untuk layanan customer service Biznet Home bisa menghubungi kemana?,-1,,
Registrasi pemasangan baru bisa melalui apa?,-1,information,0.0
IP yang didapatkan dari paket Biznet Home apa ya Kak?,0,information,0.0
Untuk minimal berlangganannya selama berapa Bulan ya Kak?,0,information,0.0
Kalau telat melakukan pembayaran paket apakah ada denda kak?,0,information,0.0
Untuk biaya kunjungan petugas berapa?,0,information,0.0
Cara ubah password wifi di lokasi bagaimana?,2,information,0.0
"SSID saya hilang, bagaimana mengatasinya?",-1,information,0.0
Kenapa saya tidak bisa akses website lokal?,0,information,0.0
"SSID saya muncul, tapi tidak ada jaringan internetnya. Bagaimana ya kak agar bisa normal kembali?",0,information,0.0
Untuk username login myBiznet apa ya kak?,-1,information,0.0
Bagaimana cara ubah alamat Email terdaftar kak?,0,information,0.0
Apakah layanan Biznet bisa diganti kepemilikan?,0,information,0.0
Cara cek status billing pembayaran?,-1,information,0.0
Cek kode virtual akun pembayaran billing biznet home?,-1,,
koneksinya lambat,-1,problem,2.0
Internet saya putus,-1,problem,2.0
Inwt mati ni,-1,problem,2.0
Internet putus ni,-1,problem,2.0
Oke terus paket bixnet ada apa aha sih?,0,information,0.0
cara cek kuota,-1,information,0.0
Koneksi Lambat,-1,problem,2.0
Berapa harga paket 150mbps,-1,information,0.0
Tidak Ada Koneksi,-1,,
Relokasi,-1,,
Ubah Layanan,-1,,
kalau aku mau mengajukan penutupan akun apakah bisa?,0,information,0.0
Syarat Dan Ketentuan Layanan Biznet Home,0,information,0.0
cara melakukan registrasi ulang,-1,information,0.0
jaminan gangguan Layanan,-1,,
jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV,0,information,0.0
masa tenggang Biznet,-1,,
bagaimana cara ikut prooo?,0,information,0.0
bagaimana cara ikut promo?,0,information,0.0
ada promo apa saja yang berlaku?,0,information,0.0
bagimana mau promo 9+3?,-1,,
kalo promo 3+1 gimana?,-1,,
promo 8+4 ada?,-1,,
saya maunya promo 6+6,-1,,
biaya instalasi,-1,,
mau 12+5 deh kak,-1,,
biaya perangkat Biznet WiFi Fiber Modem,-1,,
biaya  Home Internet 0DS,-1,,
saya mau terminasi,-1,,
biaya perangkat  layanan Biznet IPTV,0,information,0.0
Biaya yang timbul akibat relokasi,0,information,0.0
biaya setiap bulan  Biznet IPTV,0,information,0.0
garansi untuk perangkat Biznet WiFi Fiber Modem,-1,,
garansi perangkat Biznet IPTV STB,0,information,0.0
biaya sewa perangkat setiap bulan  Biznet WiFi Fiber Modem,-1,,
biaya penalti Apabila Pelanggan melakukan terminasi sebelum habis masa kontrak,-1,,
berapa lama proses instalasi hingga layanan aktif,-1,information,0.0
"proses penjadwalan instalasi, aktivasi dan relokasi membutuhkan waktu?",-1,,
ara Mempercepat Jaringan WiFi Biznet,-1,,
Cara Mempercepat Jaringan WiFi Biznet,-1,information,0.0
Cara Mengatasi WiFi Biznet Lemot,-1,information,0.0
Biznet Smart Internet WiFi,-1,,
apakah modem saya akan dilakukan pengambilan?,0,information,0.0
apakah ada biaya terminasi?,0,information,0.0
syarat mengajukan terminasi apa saja?,-1,information,0.0
saya mau ganti modem,0,information,0.0
bagaimana cara ganti modem,0,information,0.0
cara ganti modem rusak,0,information,0.0
cara beli router tambahan,-1,information,0.0
apakah bisa memanggil teknisi untuk setting router?,-1,information,0.0
bagaimana cara memindahkan modem Biznet?,0,information,0.0
jenis paket internet biznet apa saja?,0,information,0.0
perbedaan jenis ip layanan biznet apa saja?,0,information,0.0
paket 1d jenis ip apa?,-1,information,0.0
paket 2d jenis ip apa?,-1,information,0.0
paket 3d jenis ip apa?,-1,information,0.0
Bandiwth 1D berapa?,-1,information,0.0
Bandiwth 2D berapa?,-1,information,0.0
Bandiwth 3D berapa?,-1,information,0.0
bagaimana cari downgrade?,-1,information,0.0
bagaimana cara upgrade?,-1,information,0.0
ada lampu loss merah,-1,,
bagaimana cara cek status modem?,0,information,0.0
apakah ada layanan IP Statik?,-1,information,0.0
bagaimana agar ip saya berubah?,0,information,0.0
modam saya mati total,-1,problem,2.0
bagaimana cek sisa kuota saya?,0,information,0.0
bagaimana cara ganti password wifi,2,information,0.0
bagaimana cek apakah modem sudah support 5G?,-1,information,0.0
kapan saya harus isi ulang kuota?,-1,information,0.0
bagaimana cara beli xtra kuota?,0,information,0.0
berapa jumlah bandwodth over kuota?,-1,information,0.0
berapa perangkat untuk 0d?,1,information,0.0
berapa perangkat untuk 1D?,1,information,0.0
berapa perangkat untuk 2D?,1,information,0.0
berapa perangkat untuk 3D?,1,information,0.0
