question,label,label_int
Halo internet saya down sejak kemarin bisa di cek,problem,2.0
mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?,information,0.0
apa itu DNS?,information,0.0
Apakah bisa dilakukan perubahan atas nama,information,0.0
apa itu IP?,information,0.0
Apakah biznet home mengeluarkan faktur pajak,information,0.0
apa bedanya IP static dan IP dinamic?,information,0.0
"Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil",information,0.0
Apakah Biznet Home bisa melakukan perubahan nama atas nama PT,information,0.0
Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet,information,0.0
apa arti Biznet?,information,0.0
cara melakukan pembayaran via bank BRI,information,0.0
apakah biznet pempunya layanan telepon?,information,0.0
cara melakukan pembayaran via bank Mandiri,information,0.0
cara melakukan pembayaran via Tokopedia,information,0.0
cara melakukan pembayaran via Bank BCA,information,0.0
Apakah layanan home memiliki jatuh tempo,information,0.0
Apakah layanan home memiliki jatuh tempo setiap bulannya,information,0.0
Cara Factory Reset STB,information,0.0
Cara melihat device yang terhubung di modem.,information,0.0
youtube nya putus putus,problem,2.0
oi putus nih inetnya,problem,2.0
kenapa koneksi saya putus-putus?,problem,2.0
Apakah MyBiznet bisa menampilkan banyak akun,information,0.0
apakah Biznet bisa membayar pasca bayar,information,0.0
Cek sisa kuota saya berapa?,information,0.0
Cara ubah paket,information,0.0
nomornya call center berapa?,information,0.0
Call center layanan home berapa sih?,information,0.0
Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?,information,0.0
Boleh di bantu kendala internet down,problem,2.0
"Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?",information,0.0
kenapa koneksi internet saya putus nyambung?,information,0.0
bagaimana cara mengecek kouat pemakaian saya dibulan ini?,information,0.0
saya ingin mengecek masa aktif akun saya sampai kapan?,information,0.0
Untuk change package bagaimana?,information,0.0
Jenis jenis paket Biznet Home apa aja min?,information,0.0
Untuk paket HOME 0D benefitnya apa aja?,information,0.0
Apakah area saya di cibarusah sudah tercakup?,information,0.0
Paket Home 3D benefitnya apa?,information,0.0
Kalau biaya pemasangan baru berapa kak?,information,0.0
Promo perpanjangan ada apa aja kak?,information,0.0
internet saya mati,problem,2.0
cara beli promo gemana ?,information,0.0
Relokasi layanan Biznet Home?,information,0.0
apakah bisa membeli router tambahan dari biznet?,information,0.0
apakah ada pengeblokan port internet untuk layanan Biznet ?,information,0.0
Biaya relokasi layanan Biznet Home berapa kak?,information,0.0
Untuk harga paket di lokasi batam apakah dikenakan PPN kak?,information,0.0
Berapa harga STB Biznet?,information,0.0
Untuk biaya berlangganan IPTV berapa?,information,0.0
Berapa lama IP Biznet Home terganti,information,0.0
Cara cek coverage layanan Biznet Home,information,0.0
Cara cek masa aktif layanan Biznet saya,information,0.0
Troubleshoot internet lambat,problem,2.0
"Kabel fiber saya ada yang putus kak, saya harus gimana ya?",problem,2.0
"Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",information,0.0
Kalo untuk layanan IPTV ada ga kak?,information,0.0
Untuk STB nya apakah ada biaya lagi?,information,0.0
"Baik, untuk estimasi pemasangan baru berapa lama kak?",information,0.0
Untuk biaya pemasangannya apakah dibayarkan di awal?,information,0.0
Registrasi pemasangan baru bisa melalui apa?,information,0.0
IP yang didapatkan dari paket Biznet Home apa ya Kak?,information,0.0
Untuk minimal berlangganannya selama berapa Bulan ya Kak?,information,0.0
Kalau telat melakukan pembayaran paket apakah ada denda kak?,information,0.0
Untuk biaya kunjungan petugas berapa?,information,0.0
Cara ubah password wifi di lokasi bagaimana?,information,0.0
"SSID saya hilang, bagaimana mengatasinya?",information,0.0
Kenapa saya tidak bisa akses website lokal?,information,0.0
"SSID saya muncul, tapi tidak ada jaringan internetnya. Bagaimana ya kak agar bisa normal kembali?",information,0.0
Untuk username login myBiznet apa ya kak?,information,0.0
Bagaimana cara ubah alamat Email terdaftar kak?,information,0.0
Apakah layanan Biznet bisa diganti kepemilikan?,information,0.0
Cara cek status billing pembayaran?,information,0.0
koneksinya lambat,problem,2.0
Internet saya putus,problem,2.0
Inwt mati ni,problem,2.0
Internet putus ni,problem,2.0
Oke terus paket bixnet ada apa aha sih?,information,0.0
cara cek kuota,information,0.0
Koneksi Lambat,problem,2.0
Berapa harga paket 150mbps,information,0.0
kalau aku mau mengajukan penutupan akun apakah bisa?,information,0.0
Syarat Dan Ketentuan Layanan Biznet Home,information,0.0
cara melakukan registrasi ulang,information,0.0
jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV,information,0.0
bagaimana cara ikut prooo?,information,0.0
bagaimana cara ikut promo?,information,0.0
ada promo apa saja yang berlaku?,information,0.0
bagimana mau promo 9+3?,request,1.0
saya maunya promo 6+6,request,1.0
mau 12+5 deh kak,request,1.0
saya mau terminasi,request,1.0
biaya perangkat  layanan Biznet IPTV,information,0.0
Biaya yang timbul akibat relokasi,information,0.0
biaya setiap bulan  Biznet IPTV,information,0.0
garansi perangkat Biznet IPTV STB,information,0.0
berapa lama proses instalasi hingga layanan aktif,information,0.0
Cara Mempercepat Jaringan WiFi Biznet,information,0.0
Cara Mengatasi WiFi Biznet Lemot,information,0.0
apakah modem saya akan dilakukan pengambilan?,information,0.0
apakah ada biaya terminasi?,information,0.0
syarat mengajukan terminasi apa saja?,information,0.0
saya mau ganti modem,information,0.0
bagaimana cara ganti modem,information,0.0
cara ganti modem rusak,information,0.0
cara beli router tambahan,information,0.0
apakah bisa memanggil teknisi untuk setting router?,information,0.0
bagaimana cara memindahkan modem Biznet?,information,0.0
jenis paket internet biznet apa saja?,information,0.0
perbedaan jenis ip layanan biznet apa saja?,information,0.0
paket 1d jenis ip apa?,information,0.0
paket 2d jenis ip apa?,information,0.0
paket 3d jenis ip apa?,information,0.0
Bandiwth 1D berapa?,information,0.0
Bandiwth 2D berapa?,information,0.0
Bandiwth 3D berapa?,information,0.0
bagaimana cari downgrade?,information,0.0
bagaimana cara upgrade?,information,0.0
bagaimana cara cek status modem?,information,0.0
apakah ada layanan IP Statik?,information,0.0
bagaimana agar ip saya berubah?,information,0.0
modam saya mati total,problem,2.0
bagaimana cek sisa kuota saya?,information,0.0
bagaimana cara ganti password wifi,information,0.0
bagaimana cek apakah modem sudah support 5G?,information,0.0
kapan saya harus isi ulang kuota?,information,0.0
bagaimana cara beli xtra kuota?,information,0.0
berapa jumlah bandwodth over kuota?,information,0.0
berapa perangkat untuk 0d?,information,0.0
berapa perangkat untuk 1D?,information,0.0
berapa perangkat untuk 2D?,information,0.0
berapa perangkat untuk 3D?,information,0.0
berapa perangkat untuk 0ds?,information,0.0
berapa perangkat untuk 1ds?,information,0.0
berapa perangkat untuk 2ds?,information,0.0
berapa perangkat untuk 3ds?,information,0.0
berapa perangkat untuk 0dw?,information,0.0
berapa perangkat untuk 1dw?,information,0.0
berapa perangkat untuk 2dw?,information,0.0
berapa perangkat untuk 3dw?,information,0.0
berapa perangkat untuk 1dn?,information,0.0
harga net dari layanan 3D gamers berapa?,information,0.0
Layanan yang di sarankan untuk menggunakan CCTV,information,0.0
"internet lambat sekali, ada saran mengatasinya?",problem,2.0
keunggulan layanan 0D apa aja ya,information,0.0
apakah layanan biznet home 0D dapat digunakan untuk CCTV?,information,0.0
"internet saya lampu los berkedip, itu kenapa ya?",information,0.0
jika internet putus nyambung itu kenapa ya?,information,0.0
"saya dan tetangga saya internetnya biznetnya mati, itu kenapa ya?",information,0.0
ada promo apa saja pada bulan desember ini?,information,0.0
"kalo saya mau promo 3+1 layanan 0D, kena berapa tagihannya?",information,0.0
bisa tidak pengajuan IPTV untuk layanan 0D?,information,0.0
layanan apa ya kalo saya mau pasang IPTV yang cocok?,information,0.0
"saya mau pasang IPTV dong, gimana caranya?",information,0.0
"kalo layanan saya 1D dan ingin menggunakan IPTV, tagihannya di kenakan berapa?",information,0.0
Untuk STB IPTV free atau dikenakan biaya?,information,0.0
Internet saya down sejak semalam bisa di bantu?,problem,2.0
tanggal berapa biasanya akan terdebet untuk kartu kredit?,information,0.0
tanggal berapa biasanya akan terdebet untuk payment via kartu kredit?,information,0.0
Internet saya down bisa di cek,problem,2.0
Halo internet saya down,problem,2.0
Internet saya down,problem,2.0
Cara rubah paket gimana,information,0.0
Halo internet saya down bisa di cek?,problem,2.0
harga Biznet Home 1D berapa ya?,information,0.0
Harga Biznet Home 1D berapa?,information,0.0
apakah quota tambahan akan hangus jika FUP utama sudah reset?,information,0.0
Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?,information,0.0
langkah langkah lakukan bridge modem Biznet bagaimana?,information,0.0
"jika router external kami rusak, apakah dapat dibantu dari sisi Biznet?",information,0.0
apakah pergantian layanan menghanguskan sisa masa aktif?,information,0.0
apakah dikenakan biaya tambahan jika ingin merubah layanan?,information,0.0
apakah pergantian layanan dan pembelian modem bisa di proses secara bersamaan?,information,0.0
Apakah pembelian modem akan menghanguskan sisa masa aktif?,information,0.0
"saya ingin membeli modem dengan layanan 1D, berapa biaya yang harus saya keluarkan?",information,0.0
apakah kita dapat masuk ke pengaturan modem pribadi?,information,0.0
"saya ingin mengganti password wifi secara mandiri, apakah dapat dilakukan?",information,0.0
"Saya tidak dapat akses youtube.com, apakah dapat dibantu?",information,0.0
jika saya relokasi apakah dikenakan biaya?,information,0.0
Bagaimana cara setting smtp email menggunakan jaringan biznet,information,0.0
"saya ingin pindah dari jakarta ke bali, apakah dapat dilakukan relokasi?",information,0.0
Apakah saya perlu membwa modem ke lokasi baru jika ingin relokasi?,information,0.0
kenapa koneksi saya sering RTO ketika akses beberapa website?,information,0.0
"Jika saya ingin memindahkan modem dari lantai 1 ke lantai 2, apakah dikenakan biaya?",information,0.0
"saya ingin menambah router tamban untuk memperluas jaringan Biznet, apakah ada rekomendasi perangkat?",information,0.0
apakah *Deco M4 TP-Link Mesh* menggunakan kabel atau wireless?,information,0.0
bagaimana cara saya mengetahui IP dari game di pc saya?,information,0.0
apakah biznet Home meyediakan IP static?,information,0.0
kenapa jaringan saya suka up down dalam beberapa hari terakhir?,problem,2.0
"Saya ingin membuka warnet, layanan Biznet apa yang cocok untuk warnet?",information,0.0
apakah untuk layanan 3D mendapatkan ip static?,information,0.0
bagaimana saya cek sisa kuota saya?,information,0.0
apakah layanan 0D dapat digunakan sampai dengan 10 perangkat?,information,0.0
saya ingin mengaktifkan akun saya kembali namun saya terakhir melakukan pembayaran 2 bulan yang lalu. Apakah bisa di bantu?,information,0.0
saya ingin membeli modem apakah bisa di proses di hari ini?,information,0.0
"Saya ingin membayarkan tagihan melalui bank bsi, apakah bisa?",information,0.0
remote iptv saya rusak,information,0.0
Apakah IP akan terganti jika kita restart modem dengan layanan Bizne Home?,information,0.0
berapa biaya pergantian remote IPTV,information,0.0
berapa lama garansi modem biznet?,information,0.0
apakah biznet ada sistem kontrak untuk pemasangan baru?,information,0.0
Bagaimana cara saya merubah password wifi saya?,information,0.0
Berapa kapasitas bandwidth yang bisa di dapatkan jika saya menggunakan kabel LAN?,information,0.0
saya mau cek quota saya,request,1.0
bagaimana cara ubah jaringan saya dengan mode bridge,information,0.0
internet saya tidak bisa di gunakan pada macbook saya,information,0.0
bagaimana cara membatasi penggunaan koneksi di modem biznet,information,0.0
Bagaimana cara aktivasi akun MyBiznet?,information,0.0
Internet saya lambat bandwidthnya tidak sesuai,problem,2.0
Bagaimana cara cek ping dan tracert,information,0.0
bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?,information,0.0
Saya mau melakukan perpanjangan wifi,request,1.0
Berapa nomor virtual account untuk melakukan pembayaran.,information,0.0
cara perpanjang,information,0.0
cara langganan iptv gimana,information,0.0
jadi total tagihan aku kalau sama IPTV berapa?,information,0.0
parameter modem normal apa,information,0.0
mau downgrade,request,1.0
masa aktifku sampai kapan?,information,0.0
paket yang lebih rendah dari yg kupakai sekarang ada apa aja?,information,0.0
kalau mau minta invoice gimana,request,1.0
kok ga bisa akses situs perbankan,information,0.0
min mau daftar untuk di  JL TLK LAMPUNG,request,1.0
di lampung ada paket apa aja,information,0.0
biaya instalasi sama modem berapa?,information,0.0
ada promo apa aja untuk lampung,information,0.0
"cara pasang baru, di JL PULAU SULAWESI",information,0.0
sulawesi ada paket apa aja,information,0.0
kalau mau relokasi gimana,information,0.0
mau ubah status modem jadi buy min,request,1.0
mau ikut promo,request,1.0
cara login ke aplikasi gimana,information,0.0
cara beli ekstra kuota gimana,information,0.0
itu kapan resetnya,information,0.0
mau terminasi,request,1.0
min sewa sama beli modem bedanya apa,information,0.0
tipe kabelnya apa min,information,0.0
biznet jualan router ngga biar sinyal jauh,information,0.0
mau pindah modem cuman geser dikit gimana caranya,information,0.0
min dns biznet apa,information,0.0
username password pppoe aku apa,information,0.0
mau setting modem sendiri gimana caranya,information,0.0
cara tau vlan id gimana min,information,0.0
bisa nambah modem lagi min?,information,0.0
ada paket apa aja min,information,0.0
Mau cek kuota dong,request,1.0
Paket biznet,information,0.0
Cara login ke aplikasi genana ?,information,0.0
Web biznet,information,0.0
Halo internet saya down bisa di bantu cek?,problem,2.0
internet down sejak semalam,problem,2.0
Kalo beli modem beraps,information,0.0
Cara download aplikasi my biznet dimana,information,0.0
Cara mengetahui alamat sudah tercover atau belum gimana?,information,0.0
Jalan aster blok d5 no6 kelurahan sukatani kecamatan tapos kota depok kode pos 16454 apakah sudah tercover jaringan interner Biznet?,information,0.0
Untuk proses selanjutnya jika alamat tempat tinggal saya sudah tercover jaringan Biznet seperti apa atau bagimana?,information,0.0
Min internet lambat,problem,2.0
Kalau internet lambat disebabkan apa min,information,0.0
Perbedaan IP Biznet Home 0D sama Gamers 3D apa min,information,0.0
Cara ganti nama akun gimana,information,0.0
harga biznet home 1 D berapa?,information,0.0
"Internet down, bagaimana ni?",information,0.0
Cara ganti password secara mandiri gmna,information,0.0
Min modem saya gak mau nyala,information,0.0
Biznet home ada batas pembayaran ga?,information,0.0
Internet down nih,problem,2.0
internet down nih gemana ?,problem,2.0
Min kalau modem rusak gimana ya?,information,0.0
Jika sedang terjadi gangguan massal atau kendala area dari sisi Biznet apakah pelanggan akan dapat informasi terkait hal tersebut tanpa harus menanyakan?,information,0.0
"Saya ingin menggunakan cctv, paket layanan biznet home apa yang cocok untuk penggunaan cctv?",information,0.0
